targetbvdidnumber;targetname;company;Title_link;date;Title;mainText;pros;cons;reply;helpfulReviews;authorInfo;authorInfo1;authorLocation;minor;middle;outlook;CEO;recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW27891307.htm;;"""Great place to work""";I worked at SinglePlatform full-time for less than a year;"- Amazing commission structure
- Free food and drinks, contests for more money/sales, beer Friday’s, standing desks, solid training, good leadership that you can speak to whenever you need to, they give you mentors who can be really helpful. I left to pursue something I was more passionate about but I still will recommend this place to friends who want to make money in NYC.";Not really a lot, the negative reviews dont correlate with my experience or anyone else I’ve spoken to. Don’t let the negative reviews hold you back from applying.;;Helpful;Former Employee - Sales Generation Associate;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW32002375.htm;February 21, 2020;"""SP forever""";I have been working at SinglePlatform full-time for less than a year;This is the best company I've ever worked for. Before starting at SP, I was in and out of the service industry and did logistics coordinating, nannying, etc, pretty much any odd job I could find. I never felt like I fit anywhere until I started working at SP.  The atmosphere and positive energy at this job are unparalleled. I never thought I'd actually look forward to going to work, but this job definitely proved me wrong. My favorite thing is probably the opportunities they give you to move up in the company, and they actually give you the tools you need to get there.;Sometimes the office gets a little too hot, so we have to open a window. Other than that I've got nothing.;;Helpful;Current Employee - Business Analyst;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW32559989.htm;March 31, 2020;"""Not a great job""";I worked at SinglePlatform full-time for less than a year;Not too many. The people who work there are generally nice and if you're in your early 20's you're working with a lot of people your age.;"Where to begin... extremely regimented. You spend all day every day cold calling using the same script so you end up having the same conversation 100 times a day. If you don't hit your monthly quotas for the first 3 months you are fired. Expect at least half of the ""class"" you enter with to be fired within the first 3 months. Nobody works there long term. You don't learn any useful skills that can apply to real sales jobs. You are basically taught to harass and deceive small businesses across the country.";;Helpful;Former Employee - Business Development Representative;;;;;Negative Outlook;No opinion of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW32181186.htm;March 3, 2020;"""Low salary with Opportunities to  make good commission""";I worked at SinglePlatform full-time for more than a year;Once you have been there for a while and make it onto a experienced team, your commission checks get bigger and bigger.;The sales goals are raised every month and sometimes unrealistically high.;;Helpful;Former Employee - Sales Development Representative;;;;;Neutral Outlook;No opinion of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW31829811.htm;February 12, 2020;"""great place""";I have been working at SinglePlatform full-time for less than a year;good work environment and good people;really cant think of any;;Helpful;Current Employee - Customer Success Associate;;;;;;;
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW32292515.htm;March 9, 2020;"""This is a telemarketing job""";I worked at SinglePlatform full-time;There is a very politically incorrect atmosphere;"Very little room for creativity; work is monotonous and repetitive.";;Helpful;Former Employee - Business Analyst;;;;;Negative Outlook;Approves of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW31611148.htm;January 31, 2020;"""You will get burnt out""";I have been working at SinglePlatform full-time for more than a year;"- Managers are super nice and you'll make a lot of friends
- Team nights out, happy hours, prize incentives for top performers";"- metrics are nearly impossible to hit, you can't eat lunch or go to the bathroom without falling behind
- high employee turnover rate, whether they're quitting or fired, most people don't last long
- management encourages you to be pushy to the point where you're uncomfortable";;Helpful;Current Employee - Business Analyst;;;;;Negative Outlook;Disapproves of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW30426456.htm;November 17, 2019;"""ROdent-infested office, reflective of culture""";I worked at SinglePlatform full-time for less than a year;Office located in beautiful historic neighborhood;Great place for robots. ANy modicum of humanity will make your knees tremble in fear of mgmt coming down on you with no warning.;;Helpful (1);Former Employee - Engineering;;;;;Negative Outlook;Disapproves of CEO;Doesn't Recommend
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW29681355.htm;October 8, 2019;"""Great company to start at right out of school""";I worked at SinglePlatform full-time for more than a year;"-Great training for inside sales.

-Great culture with a lot of perks (team night out, happy hours, merch, etc)

-This company breeds high performing sales people. Take a look at past employees on Linkedin. MANY have gone on to Sales Managers, VP of Sales and Head of Sales. 

-Other companies know this^ and are always on the look out for high performing/ trained SinglePlatform salesperson.

Yes...it's a grind. Lots of cold calling and rejection. But that's Inside Sales for you. If you do ANY research of the job before taking it..you should know what you are walking into. GRIND and success will come. Use this company as a stepping stone and get some ground work in for a career in Sales.";"Too many reviews on here are complaining about having to have a certain amount or ""Calls"" or ""Talk Time"" a day. How do you expect a business to be successful if they do not track metrics? Work hard and put in the time..once you get the system down and sales start flowing they won't bother you so much. 

Do some research before taking the job offer and understand what you are fully getting yourself into.";;Helpful (1);Former Employee - Account Executive;;;;;Positive Outlook;Approves of CEO;Recommends
US242795879L;singleplatform corporation;singleplatform;https://www.glassdoor.com/Reviews/Employee-Review-SinglePlatform-RVW30188450.htm;November 4, 2019;"""Awful""";I worked at SinglePlatform full-time;the people there are decent;Straight cold-calling. Script read. IMPOSSIBLE metrics to meet everyday;;Helpful (1);Former Employee - Sales Associate;;;;;;;
